carton_pk|carton|plan|tag|targeting_generations|ntargets|cadences|priority
278|bhm_aqmes_med|0.1.0|0.1.0|{v0.plates}|2663|{bright_1x5}|{1100}
280|bhm_aqmes_med-faint|0.1.0|0.1.0|{v0.plates}|16853|{bright_1x5}|{3100}
286|bhm_aqmes_wide3|0.1.0|0.1.0|{v0.plates}|5785|{bright_1x6}|{1200}
287|bhm_aqmes_wide3-faint|0.1.0|0.1.0|{v0.plates}|35803|{bright_1x6}|{3200}
288|bhm_aqmes_wide2|0.1.0|0.1.0|{v0.plates}|18376|{bright_1x7}|{1210}
289|bhm_aqmes_wide2-faint|0.1.0|0.1.0|{v0.plates}|63816|{bright_1x7}|{3210}
290|bhm_aqmes_bonus-dark|0.1.0|0.1.0|{v0.plates}|579590|{bright_1x8}|{3300}
291|bhm_aqmes_bonus-bright|0.1.0|0.1.0|{v0.plates}|10848|{bright_4x1}|{4040}
307|bhm_csc_boss-dark|0.1.0|0.1.0|{v0.plates}|65350|{bright_3x1}|{3000}
308|bhm_csc_boss-bright|0.1.0|0.1.0|{v0.plates}|22173|{bright_3x2}|{4000}
309|bhm_csc_apogee|0.1.0|0.1.0|{v0.plates}|10633|{bright_3x4}|{4000}
310|bhm_gua_dark|0.1.0|0.1.0|{v0.plates}|2085729|{bright_1x8}|{3400}
311|bhm_gua_bright|0.1.0|0.1.0|{v0.plates}|237236|{bright_4x1}|{4040}
340|bhm_rm_core|0.1.0|0.1.0|{v0.plates}|3811|{bright_1x3}|{1007,1012,1017,1022,1027,1032,1037,1042,1047}
341|bhm_rm_known-spec|0.1.0|0.1.0|{v0.plates}|2992|{bright_1x3}|{1001,1006,1011,1016,1021,1026,1031,1036,1041,1046,1051}
342|bhm_rm_var|0.1.0|0.1.0|{v0.plates}|992|{bright_1x3}|{1008,1013,1018,1023,1028,1033,1038}
343|bhm_rm_ancillary|0.1.0|0.1.0|{v0.plates}|948|{bright_1x3}|{1004,1009,1014,1019,1024,1029,1034,1039,1044,1049}
356|bhm_spiders_agn-efeds|0.1.0|0.1.0|{v0.plates}|12459|{bright_2x1}|{1510,1511,1512,1513,1514,1515,1516,1517}
