carton,plan,tag,status,program,label
manual_bhm_spiders_comm_lco,0.5.23,0.3.22,core,commissioning,dr20.manual
openfibertargets_nov2020_11,1.0.7,1.0.7,openfiber,ancillary,v1.0.5-boss-only
openfibertargets_nov2020_11,1.0.7,1.0.7,openfiber,ancillary,v1.0.5
openfibertargets_nov2020_11,1.0.7,1.0.7,openfiber,ancillary,v1.0.4
openfibertargets_nov2020_11,1.0.7,1.0.7,openfiber,ancillary,v1.0.3
openfibertargets_nov2020_11,1.0.7,1.0.7,openfiber,ancillary,v1.0.2
openfibertargets_nov2020_18,1.0.7,1.0.7,openfiber,ancillary,v1.0.2
openfibertargets_nov2020_18,1.0.7,1.0.7,openfiber,ancillary,v1.0.3
openfibertargets_nov2020_18,1.0.7,1.0.7,openfiber,ancillary,v1.0.4
openfibertargets_nov2020_18,1.0.7,1.0.7,openfiber,ancillary,v1.0.5
openfibertargets_nov2020_18,1.0.7,1.0.7,openfiber,ancillary,v1.0.5-boss-only
openfibertargets_nov2020_26,1.0.7,1.0.7,openfiber,ancillary,v1.0.2
openfibertargets_nov2020_26,1.0.7,1.0.7,openfiber,ancillary,v1.0.3
openfibertargets_nov2020_26,1.0.7,1.0.7,openfiber,ancillary,v1.0.4
openfibertargets_nov2020_26,1.0.7,1.0.7,openfiber,ancillary,v1.0.5
openfibertargets_nov2020_26,1.0.7,1.0.7,openfiber,ancillary,v1.0.5-boss-only
openfibertargets_nov2020_27,1.0.7,1.0.7,openfiber,ancillary,v1.0.3
openfibertargets_nov2020_27,1.0.7,1.0.7,openfiber,ancillary,v1.0.4
openfibertargets_nov2020_27,1.0.7,1.0.7,openfiber,ancillary,v1.0.5
openfibertargets_nov2020_27,1.0.7,1.0.7,openfiber,ancillary,v1.0.2
openfibertargets_nov2020_27,1.0.7,1.0.7,openfiber,ancillary,v1.0.5-boss-only
openfibertargets_nov2020_30,1.0.7,1.0.7,openfiber,ancillary,v1.0.5-boss-only
openfibertargets_nov2020_30,1.0.7,1.0.7,openfiber,ancillary,v1.0.5
openfibertargets_nov2020_30,1.0.7,1.0.7,openfiber,ancillary,v1.0.4
openfibertargets_nov2020_30,1.0.7,1.0.7,openfiber,ancillary,v1.0.3
openfibertargets_nov2020_30,1.0.7,1.0.7,openfiber,ancillary,v1.0.2
openfibertargets_nov2020_33,1.0.10,1.0.10,openfiber,ancillary,v1.0.2
openfibertargets_nov2020_33,1.0.10,1.0.10,openfiber,ancillary,v1.0.3
openfibertargets_nov2020_33,1.0.10,1.0.10,openfiber,ancillary,v1.0.4
openfibertargets_nov2020_33,1.0.10,1.0.10,openfiber,ancillary,v1.0.5
openfibertargets_nov2020_33,1.0.10,1.0.10,openfiber,ancillary,v1.0.5-boss-only
bhm_rm_core,1.0.12,1.0.12,core,bhm_rm,v1.0.2
bhm_rm_core,1.0.12,1.0.12,core,bhm_rm,v1.0.3
bhm_rm_core,1.0.12,1.0.12,core,bhm_rm,v1.0.4
bhm_rm_core,1.0.12,1.0.12,core,bhm_rm,v1.0.5
bhm_rm_core,1.0.12,1.0.12,core,bhm_rm,v1.0.5-boss-only
bhm_rm_known_spec,1.0.12,1.0.12,core,bhm_rm,v1.0.2
